Peak Power,Aver Power,Temp,CE_Row,CE_Col,CE_Cell,UER_Row,UER_Col,UER_Cell,UEO_Row,UEO_Col,UEO_Cell,All_Row,All_Col,All_Cell,SID_0,SID_1,NumType,CE_Row_cell_number,UER_Row_cell_number,UEO_Row_cell_number,All_Row_cell_number,label_row_p1h_l0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,12,3,12,0,0,0,0,0,0,12,3,12,1,0,1,1,0,0,1,0
1,1,1,5,2,5,0,0,0,0,0,0,5,2,5,1,0,1,1,0,0,1,0
1,1,1,5,2,5,0,0,0,0,0,0,5,2,5,1,0,1,1,0,0,1,0
1,1,1,10,3,10,0,0,0,0,0,0,10,3,10,1,0,1,1,0,0,1,0
1,1,1,15,3,15,0,0,0,0,0,0,15,3,15,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,8,5,8,0,0,0,0,0,0,8,5,8,1,0,1,1,0,0,1,0
1,1,1,6,3,6,0,0,0,0,0,0,6,3,6,1,0,1,1,0,0,1,0
1,1,1,11,3,11,0,0,0,0,0,0,11,3,11,1,0,1,1,0,0,1,0
1,1,1,26,9,29,0,0,0,0,0,0,26,9,29,1,0,1,1,0,0,1,0
1,1,1,11,5,11,0,0,0,0,0,0,11,5,11,1,0,1,1,0,0,1,0
1,1,1,9,3,9,0,0,0,0,0,0,9,3,9,1,0,1,1,0,0,1,0
1,1,1,24,8,27,0,0,0,0,0,0,24,8,27,1,0,1,1,0,0,1,0
1,1,1,30,9,34,0,0,0,0,0,0,30,9,34,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,18,5,18,0,0,0,0,0,0,18,5,18,1,0,1,1,0,0,1,0
1,1,1,30,9,35,0,0,0,0,0,0,30,9,35,1,0,1,2,0,0,2,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,3,1,3,0,0,0,0,0,0,3,1,3,1,0,1,1,0,0,1,0
1,1,1,27,9,31,0,0,0,0,0,0,27,9,31,1,0,1,2,0,0,2,0
1,1,1,16,6,16,0,0,0,0,0,0,16,6,16,1,0,1,1,0,0,1,0
1,1,1,22,7,24,0,0,0,0,0,0,22,7,24,1,0,1,1,0,0,1,0
1,1,1,19,6,21,0,0,0,0,0,0,19,6,21,1,0,1,2,0,0,2,0
1,1,1,8,3,8,0,0,0,0,0,0,8,3,8,1,0,1,1,0,0,1,0
1,1,1,3,3,3,0,0,0,0,0,0,3,3,3,1,0,1,1,0,0,1,0
1,1,1,32,9,37,0,0,0,0,0,0,32,9,37,1,0,1,1,0,0,1,0
1,1,1,15,6,15,0,0,0,0,0,0,15,6,15,1,0,1,1,0,0,1,0
1,1,1,29,9,33,0,0,0,0,0,0,29,9,33,1,0,1,1,0,0,1,0
1,1,1,31,9,36,0,0,0,0,0,0,31,9,36,1,0,1,1,0,0,1,0
1,1,1,33,9,38,0,0,0,0,0,0,33,9,38,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,19,6,20,0,0,0,0,0,0,19,6,20,1,0,1,1,0,0,1,0
1,1,1,3,2,3,0,0,0,0,0,0,3,2,3,1,0,1,1,0,0,1,0
1,1,1,23,8,26,0,0,0,0,0,0,23,8,26,1,0,1,2,0,0,2,0
1,1,1,25,8,28,0,0,0,0,0,0,25,8,28,1,0,1,1,0,0,1,0
1,1,1,16,6,17,0,0,0,0,0,0,16,6,17,1,0,1,2,0,0,2,0
1,1,1,23,8,25,0,0,0,0,0,0,23,8,25,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,2,2,2,0,0,0,0,0,0,2,2,2,1,0,1,1,0,0,1,0
1,1,1,3,2,3,0,0,0,0,0,0,3,2,3,1,0,1,1,0,0,1,0
1,1,1,3,2,3,0,0,0,0,0,0,3,2,3,1,0,1,1,0,0,1,0
1,1,1,2,1,2,0,0,0,0,0,0,2,1,2,1,0,1,1,0,0,1,0
1,1,1,4,3,4,0,0,0,0,0,0,4,3,4,1,0,1,1,0,0,1,0
1,1,1,2,2,2,0,0,0,0,0,0,2,2,2,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1.151539697,1.092605339,1.077723688,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1.702775583,1.59179746,1.344335086,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,2,1,2,0,0,0,0,0,0,2,1,2,1,0,1,1,0,0,1,0
1,1,1,2,1,3,0,0,0,0,0,0,2,1,3,1,0,1,1,0,0,1,0
1,1,1,2,1,4,0,0,0,0,0,0,2,1,4,1,0,1,1,0,0,1,0
1,1,1,2,1,5,0,0,0,0,0,0,2,1,5,1,0,1,1,0,0,1,0
1,1,1,2,1,6,0,0,0,0,0,0,2,1,6,1,0,1,1,0,0,1,0
1,1,1,2,1,7,0,0,0,0,0,0,2,1,7,1,0,1,1,0,0,1,0
1,1,1,2,1,8,0,0,0,0,0,0,2,1,8,1,0,1,1,0,0,1,0
1,1,1,2,1,9,0,0,0,0,0,0,2,1,9,1,0,1,1,0,0,1,0
1,1,1,2,1,10,0,0,0,0,0,0,2,1,10,1,0,1,1,0,0,1,0
1,1,1,2,1,11,0,0,0,0,0,0,2,1,11,1,0,1,1,0,0,1,0
1,1,1,2,1,12,0,0,0,0,0,0,2,1,12,1,0,1,1,0,0,1,0
1,1,1,2,1,11,0,0,0,0,0,0,2,1,11,1,0,1,1,0,0,1,0
1,1,1,2,1,9,0,0,0,0,0,0,2,1,9,1,0,1,1,0,0,1,0
1,1,1,2,1,10,0,0,0,0,0,0,2,1,10,1,0,1,1,0,0,1,0
1,1,1,2,1,10,0,0,0,0,0,0,2,1,10,1,0,1,1,0,0,1,0
1,1,1,2,1,11,0,0,0,0,0,0,2,1,11,1,0,1,1,0,0,1,0
1,1,1,2,1,11,0,0,0,0,0,0,2,1,11,1,0,1,1,0,0,1,0
1,1,1,2,1,9,0,0,0,0,0,0,2,1,9,1,0,1,1,0,0,1,0
1,1,1,2,1,10,0,0,0,0,0,0,2,1,10,1,0,1,1,0,0,1,0
1,1,1,2,1,10,0,0,0,0,0,0,2,1,10,1,0,1,1,0,0,1,0
1,1,1,2,1,11,0,0,0,0,0,0,2,1,11,1,0,1,1,0,0,1,0
1,1,1,2,1,12,0,0,0,0,0,0,2,1,12,1,0,1,1,0,0,1,0
1,1,1,2,1,13,0,0,0,0,0,0,2,1,13,1,0,1,1,0,0,1,0
1,1,1,2,1,13,0,0,0,0,0,0,2,1,13,1,0,1,1,0,0,1,0
1,1,1,2,1,11,0,0,0,0,0,0,2,1,11,1,0,1,1,0,0,1,0
1,1,1,2,1,12,0,0,0,0,0,0,2,1,12,1,0,1,1,0,0,1,0
1,1,1,2,1,13,0,0,0,0,0,0,2,1,13,1,0,1,1,0,0,1,0
1,1,1,2,1,14,0,0,0,0,0,0,2,1,14,1,0,1,1,0,0,1,0
1,1,1,2,1,15,0,0,0,0,0,0,2,1,15,1,0,1,1,0,0,1,0
1,1,1,2,1,15,0,0,0,0,0,0,2,1,15,1,0,1,1,0,0,1,0
1,1,1,2,1,15,0,0,0,0,0,0,2,1,15,1,0,1,1,0,0,1,0
1,1,1,2,1,16,0,0,0,0,0,0,2,1,16,1,0,1,1,0,0,1,0
1,1,1,2,1,16,0,0,0,0,0,0,2,1,16,1,0,1,1,0,0,1,0
1,1,1,2,1,11,0,0,0,0,0,0,2,1,11,1,0,1,1,0,0,1,0
1,1,1.297170696,2,1,9,0,0,0,0,0,0,2,1,9,1,0,1,1,0,0,1,0
1.710603815,1.572014588,1.416060988,2,1,6,0,0,0,0,0,0,2,1,6,1,0,1,1,0,0,1,0
1.711397775,1.579248635,1.384070325,2,1,7,0,0,0,0,0,0,2,1,7,1,0,1,1,0,0,1,0
1.712985378,1.585633487,1.419365991,2,1,8,0,0,0,0,0,0,2,1,8,1,0,1,1,0,0,1,0
1.714172899,1.584061365,1.40448517,2,1,8,0,0,0,0,0,0,2,1,8,1,0,1,1,0,0,1,0
1.714329948,1.586096004,1.424920467,2,1,7,0,0,0,0,0,0,2,1,7,1,0,1,1,0,0,1,0
1.712501783,1.583073362,1.431631114,2,1,8,0,0,0,0,0,0,2,1,8,1,0,1,1,0,0,1,0
1.710727354,1.582360643,1.425037481,2,1,9,0,0,0,0,0,0,2,1,9,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,2,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,2,2,2,0,0,0,0,0,0,2,2,2,1,0,1,1,0,0,1,0
1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1.112544157,1.11369956,1.129646889,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,2,1,2,0,0,0,0,0,0,2,1,2,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
1,1,1,2,1,2,0,0,0,0,0,0,2,1,2,0,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,5,0,0,0,0,0,0,1,1,5,1,0,1,1,0,0,1,0
1,1,1,1,1,6,0,0,0,0,0,0,1,1,6,1,0,1,1,0,0,1,0
1,1,1,1,1,12,0,0,0,0,0,0,1,1,12,1,0,1,1,0,0,1,0
1,1,1,1,1,15,0,0,0,0,0,0,1,1,15,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,27,0,0,0,0,0,0,1,1,27,1,0,1,1,0,0,1,0
1,1,1,1,1,30,0,0,0,0,0,0,1,1,30,1,0,1,1,0,0,1,0
1,1,1,1,1,35,0,0,0,0,0,0,1,1,35,1,0,1,1,0,0,1,0
1,1,1,1,1,36,0,0,0,0,0,0,1,1,36,1,0,1,1,0,0,1,0
1,1,1,1,1,40,0,0,0,0,0,0,1,1,40,1,0,1,1,0,0,1,0
1,1,1,1,1,43,0,0,0,0,0,0,1,1,43,1,0,1,1,0,0,1,0
1,1,1,1,1,47,0,0,0,0,0,0,1,1,47,1,0,1,1,0,0,1,0
1,1,1,1,1,48,0,0,0,0,0,0,1,1,48,1,0,1,1,0,0,1,0
1,1,1,1,1,49,0,0,0,0,0,0,1,1,49,1,0,1,1,0,0,1,0
1,1,1,1,1,51,0,0,0,0,0,0,1,1,51,1,0,1,1,0,0,1,0
1,1,1,1,1,54,0,0,0,0,0,0,1,1,54,1,0,1,1,0,0,1,0
1,1,1,1,1,62,0,0,0,0,0,0,1,1,62,1,0,1,1,0,0,1,0
1,1,1,1,1,84,0,0,0,0,0,0,1,1,84,1,0,1,1,0,0,1,0
1,1,1,1,1,103,0,0,0,0,0,0,1,1,103,1,0,1,1,0,0,1,0
1,1,1,1,1,127,0,0,0,0,0,0,1,1,127,1,0,1,1,0,0,1,0
1,1,1,1,1,144,0,0,0,0,0,0,1,1,144,1,0,1,1,0,0,1,0
1,1,1,1,1,157,0,0,0,0,0,0,1,1,157,1,0,1,1,0,0,1,0
1,1,1,1,1,166,0,0,0,0,0,0,1,1,166,1,0,1,1,0,0,1,0
1,1,1,1,1,182,0,0,0,0,0,0,1,1,182,1,0,1,1,0,0,1,0
1,1,1,1,1,192,0,0,0,0,0,0,1,1,192,1,0,1,1,0,0,1,0
1,1,1,1,1,214,0,0,0,0,0,0,1,1,214,1,0,1,1,0,0,1,0
1,1,1,1,1,228,0,0,0,0,0,0,1,1,228,1,0,1,1,0,0,1,0
1,1,1,1,1,246,0,0,0,0,0,0,1,1,246,1,0,1,1,0,0,1,0
1,1,1,1,1,264,0,0,0,0,0,0,1,1,264,1,0,1,1,0,0,1,0
1,1,1,1,1,276,0,0,0,0,0,0,1,1,276,1,0,1,1,0,0,1,0
1,1,1,1,1,284,0,0,0,0,0,0,1,1,284,1,0,1,1,0,0,1,0
1,1,1,1,1,299,0,0,0,0,0,0,1,1,299,1,0,1,1,0,0,1,0
1,1,1,1,1,317,0,0,0,0,0,0,1,1,317,1,0,1,1,0,0,1,0
1,1,1,1,1,328,0,0,0,0,0,0,1,1,328,1,0,1,1,0,0,1,0
1,1,1,1,1,339,0,0,0,0,0,0,1,1,339,1,0,1,1,0,0,1,0
1,1,1,1,1,346,0,0,0,0,0,0,1,1,346,1,0,1,1,0,0,1,0
1,1,1,1,1,351,0,0,0,0,0,0,1,1,351,1,0,1,1,0,0,1,0
1,1,1,1,1,356,0,0,0,0,0,0,1,1,356,1,0,1,1,0,0,1,0
1,1,1,1,1,374,0,0,0,0,0,0,1,1,374,1,0,1,1,0,0,1,0
1,1,1,1,1,375,0,0,0,0,0,0,1,1,375,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,2,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,2,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,1,0
1,1,1,1,1,3,0,0,0,0,0,0,1,1,3,1,0,1,1,0,0,1,0
1,1,1,1,1,4,0,0,0,0,0,0,1,1,4,1,0,1,1,0,0,1,0
1,1,1,1,1,5,0,0,0,0,0,0,1,1,5,1,0,1,1,0,0,1,0
1,1,1,1,1,6,0,0,0,0,0,0,1,1,6,1,0,1,1,0,0,1,0
1,1,1,1,1,7,0,0,0,0,0,0,1,1,7,1,0,1,1,0,0,1,0
1,1,1,1,1,8,0,0,0,0,0,0,1,1,8,1,0,1,1,0,0,1,0
1,1,1,1,1,9,0,0,0,0,0,0,1,1,9,1,0,1,1,0,0,1,0
1,1,1,1,1,10,0,0,0,0,0,0,1,1,10,1,0,1,1,0,0,1,0
1,1,1,1,1,11,0,0,0,0,0,0,1,1,11,1,0,1,1,0,0,1,0
1,1,1,1,1,12,0,0,0,0,0,0,1,1,12,1,0,1,1,0,0,1,0
1,1,1,1,1,13,0,0,0,0,0,0,1,1,13,1,0,1,1,0,0,1,0
1,1,1,1,1,14,0,0,0,0,0,0,1,1,14,1,0,1,1,0,0,1,0
1,1,1,1,1,15,0,0,0,0,0,0,1,1,15,1,0,1,1,0,0,1,0
1,1,1,1,1,15,0,0,0,0,0,0,1,1,15,1,0,1,1,0,0,1,0
1,1,1,1,1,16,0,0,0,0,0,0,1,1,16,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,13,0,0,0,0,0,0,1,1,13,1,0,1,1,0,0,1,0
1,1,1,1,1,14,0,0,0,0,0,0,1,1,14,1,0,1,1,0,0,1,0
1,1,1,1,1,14,0,0,0,0,0,0,1,1,14,1,0,1,1,0,0,1,0
1,1,1,1,1,16,0,0,0,0,0,0,1,1,16,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,19,0,0,0,0,0,0,1,1,19,1,0,1,1,0,0,1,0
1,1,1,1,1,19,0,0,0,0,0,0,1,1,19,1,0,1,1,0,0,1,0
1,1,1,1,1,20,0,0,0,0,0,0,1,1,20,1,0,1,1,0,0,1,0
1,1,1,1,1,21,0,0,0,0,0,0,1,1,21,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,21,0,0,0,0,0,0,1,1,21,1,0,1,1,0,0,1,0
1,1,1,1,1,15,0,0,0,0,0,0,1,1,15,1,0,1,1,0,0,1,0
1,1,1,1,1,16,0,0,0,0,0,0,1,1,16,1,0,1,1,0,0,1,0
1,1,1,1,1,16,0,0,0,0,0,0,1,1,16,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,19,0,0,0,0,0,0,1,1,19,1,0,1,1,0,0,1,0
1,1,1,1,1,20,0,0,0,0,0,0,1,1,20,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,26,0,0,0,0,0,0,1,1,26,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,26,0,0,0,0,0,0,1,1,26,1,0,1,1,0,0,1,0
1,1,1,1,1,27,0,0,0,0,0,0,1,1,27,1,0,1,1,0,0,1,0
1,1,1,1,1,28,0,0,0,0,0,0,1,1,28,1,0,1,1,0,0,1,0
1,1,1,1,1,27,0,0,0,0,0,0,1,1,27,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,19,0,0,0,0,0,0,1,1,19,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,20,0,0,0,0,0,0,1,1,20,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,15,0,0,0,0,0,0,1,1,15,1,0,1,1,0,0,1,0
1,1,1,1,1,17,0,0,0,0,0,0,1,1,17,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,18,0,0,0,0,0,0,1,1,18,1,0,1,1,0,0,1,0
1,1,1,1,1,19,0,0,0,0,0,0,1,1,19,1,0,1,1,0,0,1,0
1,1,1,1,1,20,0,0,0,0,0,0,1,1,20,1,0,1,1,0,0,1,0
1,1,1,1,1,21,0,0,0,0,0,0,1,1,21,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,22,0,0,0,0,0,0,1,1,22,1,0,1,1,0,0,1,0
1,1,1,1,1,23,0,0,0,0,0,0,1,1,23,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,24,0,0,0,0,0,0,1,1,24,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,26,0,0,0,0,0,0,1,1,26,1,0,1,1,0,0,1,0
1,1,1,1,1,27,0,0,0,0,0,0,1,1,27,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
1,1,1,1,1,25,0,0,0,0,0,0,1,1,25,1,0,1,1,0,0,1,0
